ID,ENTRYTYPE,doi,journal,title,year,volume,number,pages,url,author,language,dblp_key,metadata_source
000011,article,10.1057/PALGRAVE.EJIS.3000375,European Journal of Information Systems,A theory of industry-level activity for understanding the adoption of interorganizational systems,2000,9,4,,,"Johnston, Robert B. and Gregor, Shirley",,https://dblp.org/rec/journals/ejis/JohnstonG00,DBLP
000012,article,10.1057/PALGRAVE.EJIS.3000346,European Journal of Information Systems,Editorial,2000,9,1,,,"O'Keefe, Bob and Paul, Ray J.",,https://dblp.org/rec/journals/ejis/OKeefeP00,DBLP
000013,article,10.1057/PALGRAVE.EJIS.3000364,European Journal of Information Systems,Editorial,2000,9,2,,,"O'Keefe, Bob and Paul, Ray J.",,https://dblp.org/rec/journals/ejis/OKeefeP00a,DBLP
000014,article,10.1057/PALGRAVE.EJIS.3000370,European Journal of Information Systems,Editorial,2000,9,3,,,"O'Keefe, Bob and Paul, Ray J.",,https://dblp.org/rec/journals/ejis/OKeefeP00b,DBLP
000015,article,10.1057/PALGRAVE.EJIS.3000339,European Journal of Information Systems,Information systems planning in a turbulent environment,2000,9,1,,,"Salmela, Hannu and Lederer, Albert L. and Reponen, Tapio",,https://dblp.org/rec/journals/ejis/SalmelaLR00,DBLP
000016,article,10.1057/PALGRAVE.EJIS.3000362,European Journal of Information Systems,CEO and CIO perceptions of information systems strategy - evidence from Hong Kong,2000,9,3,,,"Tai, L. A. and Phelps, Robert",,https://dblp.org/rec/journals/ejis/TaiP00,DBLP
000017,article,10.1057/PALGRAVE.EJIS.3000342,European Journal of Information Systems,Stimulating power games as a part of systems development,2000,9,1,,,"Torvinen, Vesa and Jalonen, Katarina",,https://dblp.org/rec/journals/ejis/TorvinenJ00,DBLP
000018,article,10.1057/PALGRAVE.EJIS.3000349,European Journal of Information Systems,Process improvement and organisational learning - The role of collaboration technologies,2000,9,2,,,"Bacon, C. James",,https://dblp.org/rec/journals/ejis/Bacon00,DBLP
000019,article,10.1057/PALGRAVE.EJIS.3000367,European Journal of Information Systems,Information technology standards and standardization - A global perspective,2000,9,3,,,"Berghout, Egon",,https://dblp.org/rec/journals/ejis/Berghout00a,DBLP
000020,article,10.1057/PALGRAVE.EJIS.3000371,European Journal of Information Systems,Book review/viewpoint on Ian Angell's book - 'The New Barbarian Manifesto - How to Survive in the Information Age',2000,9,3,,,"Paul, Ray",,https://dblp.org/rec/journals/ejis/Brown00,DBLP
000021,article,10.1057/PALGRAVE.EJIS.3000360,European Journal of Information Systems,The IT value quest - How to capture the business value of IT-based infrastructure,2000,9,3,,,"Brown, Ann",,https://dblp.org/rec/journals/ejis/Brown00a,DBLP
000022,article,10.1057/PALGRAVE.EJIS.3000368,European Journal of Information Systems,Binary trading relations and the limits of EDI standards - the Procrustean bed of standards,2000,9,3,,,"Damsgaard, Jan and Truex, Duane",,https://dblp.org/rec/journals/ejis/DamsgaardT00,DBLP
000023,article,10.1057/PALGRAVE.EJIS.3000373,European Journal of Information Systems,Open source movements as a model for organising,2000,9,4,,,"Ljungberg, Jan",,https://dblp.org/rec/journals/ejis/Ljungberg00,DBLP
000024,article,10.1057/PALGRAVE.EJIS.3000365,European Journal of Information Systems,System development - A strategic framework,2000,9,3,,,"Seltsikas, Phil",,https://dblp.org/rec/journals/ejis/Seltsikas00,DBLP
000025,article,10.1057/PALGRAVE.EJIS.3000348,European Journal of Information Systems,Software process improvement - Concepts and practices,2000,9,2,,,"Alexander, Ian",,https://dblp.org/rec/journals/ejis/Alexander00,DBLP
000026,article,10.1057/PALGRAVE.EJIS.3000350,European Journal of Information Systems,An introduction to qualitative research,2000,9,2,,,"Alexander, Ian",,https://dblp.org/rec/journals/ejis/Alexander00a,DBLP
000027,article,10.1057/PALGRAVE.EJIS.3000351,European Journal of Information Systems,Beyond the productivity paradox,2000,9,2,,,"Berghout, Egon",,https://dblp.org/rec/journals/ejis/Berghout00,DBLP
000028,article,10.1057/PALGRAVE.EJIS.3000354,European Journal of Information Systems,Future organizational design - the scope for IT-based enterprise,2000,9,3,,,"Colville, Ian",,https://dblp.org/rec/journals/ejis/Colville00,DBLP
000029,article,10.1057/PALGRAVE.EJIS.3000347,European Journal of Information Systems,Requirements engineering - A good practice,2000,9,2,,,"Galal-Edeen, Galal H.",,https://dblp.org/rec/journals/ejis/Galal-Edeen00,DBLP
000030,article,10.1057/PALGRAVE.EJIS.3000355,European Journal of Information Systems,Paradigmatic analysis as a means of eliciting knowledge to assist multimedia methodological development,2000,9,2,,,"Gallagher, Séamus and Webb, Brian R.",,https://dblp.org/rec/journals/ejis/GallagherW00,DBLP
000031,article,10.1057/PALGRAVE.EJIS.3000352,European Journal of Information Systems,IT investments in developing countries - An assessment and practical guide,2000,9,2,,,"Hecks, Richard",,https://dblp.org/rec/journals/ejis/Hecks00,DBLP
000032,article,10.1057/PALGRAVE.EJIS.3000376,European Journal of Information Systems,Identifying and classifying processes (traditional and soft factors) that support COTS component selection - a case study,2000,9,4,,,"Kunda, Douglas and Brooks, Laurence D.",,https://dblp.org/rec/journals/ejis/KundaB00,DBLP
000033,article,10.1057/PALGRAVE.EJIS.3000377,European Journal of Information Systems,Bundling strategy in base-supplemental goods markets - the case of Microsoft,2000,9,4,,,"Lee, Sang-Yong Tom",,https://dblp.org/rec/journals/ejis/Lee00,DBLP
000034,article,10.1057/PALGRAVE.EJIS.3000358,European Journal of Information Systems,Perceived critical mass effect on groupware acceptance,2000,9,2,,,"Lou, H. and Luo, Wenhong and Strong, Diane M.",,https://dblp.org/rec/journals/ejis/LouLS00,DBLP
000035,article,10.1057/PALGRAVE.EJIS.3000369,European Journal of Information Systems,Operationalising the implementation puzzle - an argument for eclecticism in research and in practice,2000,9,3,,,"Marble, Robert P.",,https://dblp.org/rec/journals/ejis/Marble00,DBLP
000036,article,10.1057/PALGRAVE.EJIS.3000357,European Journal of Information Systems,"'Requirements-Uncertainty' - Is it best formulated as a latent, aggregate or profile construct?",2000,9,2,,,"Moynihan, Tony",,https://dblp.org/rec/journals/ejis/Moynihan00,DBLP
000037,article,10.1057/PALGRAVE.EJIS.3000378,European Journal of Information Systems,Towards an enterprise architecture for public administration using a top-down approach,2000,9,4,,,"Peristeras, Vassilios and Tarabanis, Konstantinos A.",,https://dblp.org/rec/journals/ejis/PeristerasT00,DBLP
000038,article,10.1057/PALGRAVE.EJIS.3000361,European Journal of Information Systems,Business environment and internet commerce benefit - a small business perspective,2000,9,2,,,"Poon, S.",,https://dblp.org/rec/journals/ejis/Poon00,DBLP
000039,article,10.1057/PALGRAVE.EJIS.3000345,European Journal of Information Systems,Packaged software - implications of the differences from custom approaches to software development,2000,9,1,,,"Sawyer, Steven",,https://dblp.org/rec/journals/ejis/Sawyer00,DBLP
000040,article,10.1057/PALGRAVE.EJIS.3000380,European Journal of Information Systems,Editorial,2000,9,4,,,"Smithson, Steve",,https://dblp.org/rec/journals/ejis/Smithson00,DBLP
000041,article,10.1057/PALGRAVE.EJIS.3000353,European Journal of Information Systems,Doing research in Business and Management - An Introduction to process and method,2000,9,3,,,"Work, Brent",,https://dblp.org/rec/journals/ejis/Work00,DBLP
000042,article,10.1057/PALGRAVE.EJIS.3000388,European Journal of Information Systems,Design and delivery of information,2001,10,1,,,"Korn, J.",,https://dblp.org/rec/journals/ejis/Korn01,DBLP
000043,article,10.1057/PALGRAVE.EJIS.3000372,European Journal of Information Systems,Outsourcing information systems - drawing lessons from a banking case study,2001,10,1,,,"Baldwin, Lynne P. and Irani, Zahir and Love, Peter E. D.",,https://dblp.org/rec/journals/ejis/BaldwinIL01,DBLP
000044,article,10.1057/PALGRAVE.EJIS.3000379,European Journal of Information Systems,Information systems strategies in knowledge-based SMEs - the role of core competencies,2001,10,1,,,"Duhan, Stephen and Levy, Margi and Powell, Philip",,https://dblp.org/rec/journals/ejis/DuhanLP01,DBLP
000045,article,10.1057/PALGRAVE.EJIS.3000408,European Journal of Information Systems,"Information systems evaluation - past, present and future",2001,10,4,,,"Irani, Zahir and Love, Peter E. D.",,https://dblp.org/rec/journals/ejis/IraniL01,DBLP
000046,article,10.1057/PALGRAVE.EJIS.3000384,European Journal of Information Systems,Transforming failure into success through organisational learning - an analysis of a manufacturing information system,2001,10,1,,,"Irani, Zahir and Sharif, Amir M. and Love, Peter E. D.",,https://dblp.org/rec/journals/ejis/IraniSL01,DBLP
000047,article,10.1057/PALGRAVE.EJIS.3000395,European Journal of Information Systems,Crossing boundaries and conscripting participation - representing and integrating knowledge in a paper machinery project,2001,10,2,,,"Karsten, Helena and Lyytinen, Kalle and Hurskainen, Markku and Koskelainen, Timo",,https://dblp.org/rec/journals/ejis/KarstenLHK01,DBLP
000048,article,10.1057/PALGRAVE.EJIS.3000389,European Journal of Information Systems,"Editorial Volume 10, Issue 1",2001,10,1,,,"O'Keefe, Bob and Paul, Ray J.",,https://dblp.org/rec/journals/ejis/OKeefeP01,DBLP
000049,article,10.1057/PALGRAVE.EJIS.3000394,European Journal of Information Systems,Organisational learning - a critical systems thinking discipline,2001,10,3,,,"Panagiotidis, Petros and Edwards, John S.",,https://dblp.org/rec/journals/ejis/PanagiotidisE01,DBLP
000050,article,10.1057/PALGRAVE.EJIS.3000407,European Journal of Information Systems,A framework for the ex-ante evaluation of ERP software,2001,10,4,,,"Stefanou, Constantinos J.",,https://dblp.org/rec/journals/ejis/Stefanou01,DBLP
000051,article,10.1057/PALGRAVE.EJIS.3000401,European Journal of Information Systems,An investigation of the factors affecting the successful treatment of organisational issues in systems development projects,2001,10,3,,,"Doherty, Neil F. and King, Malcolm",,https://dblp.org/rec/journals/ejis/DohertyK01,DBLP
000052,article,10.1057/PALGRAVE.EJIS.3000400,European Journal of Information Systems,Editorial,2001,10,2,,,"Edwards, John",,https://dblp.org/rec/journals/ejis/Edwards01,DBLP
000053,article,10.1057/PALGRAVE.EJIS.3000402,European Journal of Information Systems,The process of global knowledge integration - a case study of a multinational investment bank's Y2K program,2001,10,3,,,"Huang, Jimmy C. and Newell, Sue and Pan, Shan Ling",,https://dblp.org/rec/journals/ejis/HuangNP01,DBLP
000054,article,10.1057/PALGRAVE.EJIS.3000399,European Journal of Information Systems,Transfer of knowledge in knowledge management systems - unexplored issues and suggested studies,2001,10,2,,,"Huber, George P.",,https://dblp.org/rec/journals/ejis/Huber01,DBLP
000055,article,10.1057/PALGRAVE.EJIS.3000405,European Journal of Information Systems,Understanding IS evaluation as a complex social process - a case study of a UK local authority,2001,10,4,,,"Jones, Steven and Hughes, Jim",,https://dblp.org/rec/journals/ejis/JonesH01,DBLP
000056,article,10.1057/PALGRAVE.EJIS.3000383,European Journal of Information Systems,Measuring Information Technology Investment Payoff - a Contemporary Approach,2001,10,1,,,"Land, Frank",,https://dblp.org/rec/journals/ejis/Land01,DBLP
000057,article,10.1057/PALGRAVE.EJIS.3000398,European Journal of Information Systems,Knowledge management and the politics of knowledge - illustrations from complex products and systems,2001,10,2,,,"Marshall, Nick and Brady, Tim",,https://dblp.org/rec/journals/ejis/MarshallB01,DBLP
000058,article,10.1057/PALGRAVE.EJIS.3000396,European Journal of Information Systems,'Memories are made of this' - explicating organisational knowledge and memory,2001,10,2,,,"Randall, Dave W. and Hughes, John A. and O'Brien, Jon and Rouncefield, Mark and Tolmie, Peter",,https://dblp.org/rec/journals/ejis/RandallHORT01,DBLP
000059,article,10.1057/PALGRAVE.EJIS.3000409,European Journal of Information Systems,The impact of information technology on financial performance - the importance of strategic choice,2001,10,4,,,"Shin, Namchul",,https://dblp.org/rec/journals/ejis/Shin01,DBLP
000060,article,10.1057/PALGRAVE.EJIS.3000406,European Journal of Information Systems,ERP software implementation - an integrative framework,2001,10,4,,,"Al-Mudimigh, Abdullah and Zairi, Mohamed and Al-Mashari, Majed",,https://dblp.org/rec/journals/ejis/Al-MudimighZA01,DBLP
000061,article,10.1057/PALGRAVE.EJIS.3000387,European Journal of Information Systems,Handbook of Action Research Participative Inquiry and Practice,2001,10,3,,,"Alexander, Ian",,https://dblp.org/rec/journals/ejis/Alexander01,DBLP
000062,article,10.1057/PALGRAVE.EJIS.3000403,European Journal of Information Systems,"Managing Industrial Knowledge; Creation, Transfer and Utilization",2001,10,3,,,"Alexander, Ian",,https://dblp.org/rec/journals/ejis/Alexander01a,DBLP
000063,article,10.1057/PALGRAVE.EJIS.3000356,European Journal of Information Systems,Oracle8i Data Warehousing,2001,10,1,,,"Alshawi, Sarmad",,https://dblp.org/rec/journals/ejis/Alshawi01,DBLP
000064,article,10.1057/PALGRAVE.EJIS.3000391,European Journal of Information Systems,The Component-based Business - Plug and Play,2001,10,3,,,"Cook, David E.",,https://dblp.org/rec/journals/ejis/Cook01,DBLP
000065,article,10.1057/PALGRAVE.EJIS.3000393,European Journal of Information Systems,Exploring the supply-side of IT outsourcing - evaluating the emerging role of application service providers,2001,10,3,,,"Currie, Wendy L. and Seltsikas, Philip",,https://dblp.org/rec/journals/ejis/CurrieS01,DBLP
000066,article,10.1057/PALGRAVE.EJIS.3000392,European Journal of Information Systems,Market-oriented Technology Management - Innovating for Profit in Entrepreneurial Times,2001,10,3,,,"Elliott, Geoffrey",,https://dblp.org/rec/journals/ejis/Elliott01,DBLP
000067,article,10.1057/PALGRAVE.EJIS.3000381,European Journal of Information Systems,From contexts to constructs - the use of grounded theory in operationalising contingent process models,2001,10,1,,,"Galal-Edeen, Galal H.",,https://dblp.org/rec/journals/ejis/Galal-Edeen01,DBLP
000068,article,10.1057/PALGRAVE.EJIS.3000386,European Journal of Information Systems,Handbook on Electronic Commerce,2001,10,1,,,"Hollocks, Brian W.",,https://dblp.org/rec/journals/ejis/Hollocks01,DBLP
000069,article,10.1057/PALGRAVE.EJIS.3000385,European Journal of Information Systems,Model-based design and evaluation of interactive applications,2001,10,3,,,"Magoulas, George D.",,https://dblp.org/rec/journals/ejis/Magoulas01,DBLP
000070,article,10.1057/PALGRAVE.EJIS.3000390,European Journal of Information Systems,Managing Electronic Services; A Public Sector Perspective,2001,10,3,,,"Preston, Hugh",,https://dblp.org/rec/journals/ejis/Preston01,DBLP
000071,article,10.1057/PALGRAVE.EJIS.3000397,European Journal of Information Systems,What is knowledge and can it be managed?,2001,10,2,,,"Sutton, D. C.",,https://dblp.org/rec/journals/ejis/Sutton01,DBLP
000072,article,10.1057/PALGRAVE.EJIS.3000424,European Journal of Information Systems,The organisational learning effects of management accounting information under advanced manufacturing technology,2002,11,2,,,"Choe, J.-M.",,https://dblp.org/rec/journals/ejis/Choe02,DBLP
000073,article,10.1057/PALGRAVE.EJIS.3000420,European Journal of Information Systems,"Pre-project partnering impact on an information system project, project team and project manager",2002,11,2,,,"Jiang, James J. and Klein, Gary and Discenza, Richard",,https://dblp.org/rec/journals/ejis/JiangKD02,DBLP
000074,article,10.1057/PALGRAVE.EJIS.3000428,European Journal of Information Systems,(IS)3 - Is Information Systems an intellectual subject?,2002,11,2,,,"Paul, R. J.",,https://dblp.org/rec/journals/ejis/Paul02,DBLP
000075,article,10.1057/PALGRAVE.EJIS.3000431,European Journal of Information Systems,Personality traits and effectiveness of presentation of product information in e-business systems,2002,11,3,,,"Jahng, Jungjoo and Jain, Hemant K. and Ramamurthy, Keshavamurthy",,https://dblp.org/rec/journals/ejis/JahngJR02,DBLP
000076,article,10.1057/PALGRAVE.EJIS.3000419,European Journal of Information Systems,"Editorial Volume 11, Issue 1",2002,11,1,,,"O'Keefe, Bob and Paul, Ray J.",,https://dblp.org/rec/journals/ejis/OKeefeP02,DBLP
000077,article,10.1057/PALGRAVE.EJIS.3000441,European Journal of Information Systems,Editorial,2002,11,4,,,"O'Keefe, Bob and Paul, Ray J.",,https://dblp.org/rec/journals/ejis/OKeefeP02a,DBLP
000078,article,10.1057/PALGRAVE.EJIS.3000426,European Journal of Information Systems,Information Systems and Global Diversity,2002,11,4,,,"Preston, Hugh",,https://dblp.org/rec/journals/ejis/Preston02,DBLP
000079,article,10.1057/PALGRAVE.EJIS.3000423,European Journal of Information Systems,Requirements engineering - exploring the influence of power and Thai values,2002,11,2,,,"Thanasankit, Theerasak",,https://dblp.org/rec/journals/ejis/Thanasankit02,DBLP
000080,article,10.1057/PALGRAVE.EJIS.3000417,European Journal of Information Systems,"Women in the information technology profession - a literature review, synthesis and research agenda",2002,11,1,,,"Ahuja, Manju K.",,https://dblp.org/rec/journals/ejis/Ahuja02,DBLP
000081,article,10.1057/PALGRAVE.EJIS.3000438,European Journal of Information Systems,Do I really have to? User acceptance of mandated technology,2002,11,4,,,"Brown, Susan A. and Massey, Anne P. and Montoya-Weiss, Mitzi M. and Burkman, James R.",,https://dblp.org/rec/journals/ejis/BrownMMB02,DBLP
000082,article,10.1057/PALGRAVE.EJIS.3000416,European Journal of Information Systems,Review - Information Security Management - Global Changes in the New Millennium,2002,11,1,,,"Cook, David E.",,https://dblp.org/rec/journals/ejis/Cook02,DBLP
000083,article,10.1057/PALGRAVE.EJIS.3000430,European Journal of Information Systems,Benchmarking information technology practices in small firms,2002,11,4,,,"Cragg, Paul B.",,https://dblp.org/rec/journals/ejis/Cragg02,DBLP
000084,article,10.1057/PALGRAVE.EJIS.3000415,European Journal of Information Systems,Exploring relationships in information technology outsourcing - the interaction approach,2002,11,1,,,"Kern, Thomas and Willcocks, Leslie P.",,https://dblp.org/rec/journals/ejis/KernW02,DBLP
000085,article,10.1057/PALGRAVE.EJIS.3000421,European Journal of Information Systems,Role of GSS on collaborative problem-based learning - a study on knowledge externalisation,2002,11,2,,,"Kwok, Ron Chi-Wai and Lee, Jae-Nam and Huynh, Minh Q. and Pi, Shih-Ming",,https://dblp.org/rec/journals/ejis/KwokLHP02,DBLP
000086,article,10.1057/PALGRAVE.EJIS.3000429,European Journal of Information Systems,Managing document categories in e-commerce environments - an evolution-based approach,2002,11,3,,,"Wei, Chih-Ping and Hu, Paul Jen-Hwa and Dong, Yuan-Xin",,https://dblp.org/rec/journals/ejis/WeiHD02,DBLP
000087,article,10.1057/PALGRAVE.EJIS.3000418,European Journal of Information Systems,Vicious and virtuous cycles in ERP implementation - a case study of interrelations between critical success factors,2002,11,1,,,"Akkermans, Henk and van Helden, Kees",,https://dblp.org/rec/journals/ejis/AkkermansH02,DBLP
000088,article,10.1057/PALGRAVE.EJIS.3000432,European Journal of Information Systems,The development of two tools for measuring the easiness and usefulness of transactional Web sites,2002,11,3,,,"Aladwani, Adel M.",,https://dblp.org/rec/journals/ejis/Aladwani02,DBLP
000089,article,10.1057/PALGRAVE.EJIS.3000425,European Journal of Information Systems,"Culture, power and politics in ICT outsourcing in higher education institutions",2002,11,2,,,"Allen, D. and Kern, T. and Mattison, D.",,https://dblp.org/rec/journals/ejis/AllenKM02,DBLP
000090,article,10.1057/PALGRAVE.EJIS.3000433,European Journal of Information Systems,For the Special Issue on 'Personal Aspects of E-Business',2002,11,3,,,"Chau, Patrick Y. K.",,https://dblp.org/rec/journals/ejis/Chau02,DBLP
000091,article,10.1057/PALGRAVE.EJIS.3000404,European Journal of Information Systems,Review - Qualitative Research in IS - Issues and Trends,2002,11,1,,,"Hollocks, Brian W.",,https://dblp.org/rec/journals/ejis/Hollocks02,DBLP
000092,article,10.1057/PALGRAVE.EJIS.3000422,European Journal of Information Systems,IT alignment in small firms,2002,11,2,,,"Hussin, Husnayati and King, Malcolm and Cragg, Paul B.",,https://dblp.org/rec/journals/ejis/HussinKC02,DBLP
000093,article,10.1057/PALGRAVE.EJIS.3000411,European Journal of Information Systems,Developing a frame of reference for ex-ante IT/IS investment evaluation,2002,11,1,,,"Irani, Zahir and Love, Peter E. D.",,https://dblp.org/rec/journals/ejis/IraniL02,DBLP
000094,article,10.1057/PALGRAVE.EJIS.3000436,European Journal of Information Systems,The Golden Circle - a way of arguing and acting about technology in the London Ambulance Service,2002,11,4,,,"McGrath, Kathy",,https://dblp.org/rec/journals/ejis/Mcgrath02,DBLP
000095,article,10.1057/PALGRAVE.EJIS.3000413,European Journal of Information Systems,The role of boundaries in knowledge processes,2002,11,1,,,"Merali, Yasmin",,https://dblp.org/rec/journals/ejis/Merali02,DBLP
000096,article,10.1057/PALGRAVE.EJIS.3000427,European Journal of Information Systems,Editorial,2002,11,2,,,"O'Keefe, Bob",,https://dblp.org/rec/journals/ejis/OKeefe02,DBLP
000097,article,10.1057/PALGRAVE.EJIS.3000414,European Journal of Information Systems,Knowledge Management and Business Model Innovation,2002,11,4,,,"Pagano, Rosane",,https://dblp.org/rec/journals/ejis/Pagano02,DBLP
000098,article,10.1057/PALGRAVE.EJIS.3000434,European Journal of Information Systems,"Online auctions, messaging, communication and social facilitation - a simulation and experimental evidence",2002,11,3,,,"Rafaeli, Sheizaf and Noy, Avi",,https://dblp.org/rec/journals/ejis/RafaeliN02,DBLP
000099,article,10.1057/PALGRAVE.EJIS.3000437,European Journal of Information Systems,Re-conceptualising failure - social shaping meets IS research,2002,11,4,,,"Wilson, Melanie and Howcroft, Debra",,https://dblp.org/rec/journals/ejis/WilsonH02,DBLP
000100,article,10.1057/PALGRAVE.EJIS.3000410,European Journal of Information Systems,Patterns of software quality management in TickIT certified firms,2002,11,1,,,"Work, Brent Lyle",,https://dblp.org/rec/journals/ejis/Work02,DBLP
000101,article,10.1057/PALGRAVE.EJIS.3000471,European Journal of Information Systems,(IS)4 - is information systems interesting in itself?,2003,12,3,,,"Perry, Mark J.",,https://dblp.org/rec/journals/ejis/Perry03,DBLP
000102,article,10.1057/PALGRAVE.EJIS.3000464,European Journal of Information Systems,Review - Information Systems - an Introduction to Informatics in Organisations,2003,12,3,,,"Brooks, Laurence D.",,https://dblp.org/rec/journals/ejis/Brooks03,DBLP
000103,article,10.1057/PALGRAVE.EJIS.3000454,European Journal of Information Systems,Using resource-based theory to interpret the successful adoption and use of information systems and technology in manufacturing small and medium-sized enterprises,2003,12,2,,,"Caldeira, Mário M. and Ward, John M.",,https://dblp.org/rec/journals/ejis/CaldeiraW03,DBLP
000104,article,10.1057/PALGRAVE.EJIS.3000470,European Journal of Information Systems,Electronic window dressing - impression management with Websites,2003,12,4,,,"Winter, Susan J. and Saunders, Carol Stoak and Hart, Paul J.",,https://dblp.org/rec/journals/ejis/WinterSH03,DBLP
000105,article,10.1057/PALGRAVE.EJIS.3000444,European Journal of Information Systems,"Review - Information Systems Outsourcing - Enduring Themes, Emergent Patterns and Future Directions",2003,12,1,,,"Fitzerald, Gury",,https://dblp.org/rec/journals/ejis/Fitzerald03,DBLP
000106,article,10.1057/PALGRAVE.EJIS.3000458,European Journal of Information Systems,"Review - Information Systems Outsourcing - Enduring Themes, Emergent Patterns and Future Directions",2003,12,2,,,"Fitzgerald, Guy",,https://dblp.org/rec/journals/ejis/Fitzgerald03,DBLP
000107,article,10.1057/PALGRAVE.EJIS.3000473,European Journal of Information Systems,"Information systems - a subject with a particular perspective, no more, no less",2003,12,3,,,"Fitzgerald, Guy",,https://dblp.org/rec/journals/ejis/Fitzgerald03a,DBLP
000108,article,10.1057/PALGRAVE.EJIS.3000465,European Journal of Information Systems,Disciplining Information Systems - Truth and its Regimes,2003,12,3,,,"Introna, Lucas D.",,https://dblp.org/rec/journals/ejis/Introna03,DBLP
000109,article,10.1057/PALGRAVE.EJIS.3000460,European Journal of Information Systems,Business use of Internet-based information systems - the case of Korea,2003,12,3,,,"Lee, Sangjae",,https://dblp.org/rec/journals/ejis/Lee03,DBLP
000110,article,10.1057/PALGRAVE.EJIS.3000439,European Journal of Information Systems,"SMEs, co-opetition and knowledge sharing - the role of information systems",2003,12,1,,,"Levy, Margi and Loebbecke, Claudia and Powell, Philip",,https://dblp.org/rec/journals/ejis/LevyLP03,DBLP
000111,article,10.1057/PALGRAVE.EJIS.3000449,European Journal of Information Systems,Development of a measure for the information technology infrastructure construct,2003,12,2,,,"Lewis, Bruce R. and Byrd, Terry Anthony",,https://dblp.org/rec/journals/ejis/LewisB03,DBLP
000112,article,10.1057/PALGRAVE.EJIS.3000442,European Journal of Information Systems,Rethinking competence systems for knowledge-based organizations,2003,12,1,,,"Lindgren, Rikard and Stenmark, Dick and Ljungberg, Jan",,https://dblp.org/rec/journals/ejis/LindgrenSL03,DBLP
000113,article,10.1057/PALGRAVE.EJIS.3000462,European Journal of Information Systems,Identifying software project risks in Nigeria - an International Comparative Study,2003,12,3,,,"Mursu, Anja and Lyytinen, Kalle and Soriyan, Hettie Abimbola and Korpela, Mikko",,https://dblp.org/rec/journals/ejis/MursuLSK03,DBLP
000114,article,10.1057/PALGRAVE.EJIS.3000459,European Journal of Information Systems,"Time, change and paradoxes",2003,12,2,,,"Paul, Ray J.",,https://dblp.org/rec/journals/ejis/Paul03,DBLP
000115,article,10.1057/PALGRAVE.EJIS.3000472,European Journal of Information Systems,More changes and responses,2003,12,3,,,"Paul, Ray J.",,https://dblp.org/rec/journals/ejis/Paul03a,DBLP
000116,article,10.1057/PALGRAVE.EJIS.3000468,European Journal of Information Systems,Review - Information Systems and the Economics of Innovation,2003,12,3,,,"Varey, Richard",,https://dblp.org/rec/journals/ejis/Varey03,DBLP
000117,article,10.1057/PALGRAVE.EJIS.3000440,European Journal of Information Systems,Review - Knowledge Management Systems,2003,12,1,,,"Alexander, Ian",,https://dblp.org/rec/journals/ejis/Alexander03,DBLP
000118,article,10.1057/PALGRAVE.EJIS.3000469,European Journal of Information Systems,Review - Designing Collaborative Systems. A Practical Guide to Ethnography,2003,12,3,,,"Alexander, Ian",,https://dblp.org/rec/journals/ejis/Alexander03b,DBLP
000119,article,10.1057/PALGRAVE.EJIS.3000476,European Journal of Information Systems,Assessing the benefits from e-business transformation through effective enterprise management,2003,12,4,,,"Ash, Colin G. and Burn, Janice M.",,https://dblp.org/rec/journals/ejis/AshB03,DBLP
000120,article,10.1057/PALGRAVE.EJIS.3000453,European Journal of Information Systems,Modeling use of enterprise resource planning systems - a path analytic study,2003,12,2,,,"Bagchi, Shantanu and Kanungo, Shivraj and Dasgupta, Subhasish",,https://dblp.org/rec/journals/ejis/BagchiKD03,DBLP
000121,article,10.1057/PALGRAVE.EJIS.3000446,European Journal of Information Systems,The business model concept - theoretical underpinnings and empirical illustrations,2003,12,1,,,"Hedman, Jonas and Kalling, Thomas",,https://dblp.org/rec/journals/ejis/HedmanK03,DBLP
000122,article,10.1057/PALGRAVE.EJIS.3000456,European Journal of Information Systems,"Review - The Relationship Advantage - Information Technologies, Sourcing, and Management",2003,12,2,,,"Irani, Zahir",,https://dblp.org/rec/journals/ejis/Irani03,DBLP
000123,article,10.1057/PALGRAVE.EJIS.3000466,European Journal of Information Systems,Determinants of ASP choice - an integrated perspective,2003,12,3,,,"Jayatilaka, Bandula and Schwarz, Andrew and Hirschheim, Rudy",,https://dblp.org/rec/journals/ejis/JayatilakaSH03,DBLP
000124,article,10.1057/PALGRAVE.EJIS.3000447,European Journal of Information Systems,Are European IS Journals under-rated? An answer based on citation analysis,2003,12,1,,,"Katerattanakul, Pairin and Han, Bernard T.",,https://dblp.org/rec/journals/ejis/KaterattanakulH03,DBLP
000125,article,10.1057/PALGRAVE.EJIS.3000475,European Journal of Information Systems,Electronic business adoption by European firms - a cross-country assessment of the facilitators and inhibitors,2003,12,4,,,"Zhu, Kevin and Kraemer, Kenneth L. and Xu, Sean Xin",,https://dblp.org/rec/journals/ejis/ZhuKX03,DBLP
000126,article,10.1057/PALGRAVE.EJIS.3000457,European Journal of Information Systems,Review - Visualizing Argumentation - Software Tools for Collaborative and Educational Sense-making,2003,12,2,,,"Alexander, Ian",,https://dblp.org/rec/journals/ejis/Alexander03a,DBLP
000127,article,10.1057/PALGRAVE.EJIS.3000474,European Journal of Information Systems,Is IS an intellectual subject?,2003,12,3,,,"Avison, David E.",,https://dblp.org/rec/journals/ejis/Avison03,DBLP
