ID,ENTRYTYPE,doi,journal,title,year,volume,number,pages,abstract,language,author,cited_by,fulltext,url,dblp_key,metadata_source
000831,article,10.1057/S41265-017-0039-5,Journal of Information Technology,Erratum to: How do Requirements Evolve over Time? A Case Study Investigating the Role of Context and Experiences in the Evolution of Enterprise Software Requirements,2018,33,2,171--171,,eng,"Schneider, Stephan and Wollersheim, Jan and Krcmar, Helmut and Sunyaev, Ali",,,,,
000832,article,10.1057/S41265-016-0001-Y,Journal of Information Technology,How do Requirements Evolve over Time? A Case Study Investigating the Role of Context and Experiences in the Evolution of Enterprise Software Requirements,2018,33,2,151--170,"In recent years, organizations have increasingly sourced cloud-based enterprise software (ES). Although comprehensively capturing organizations’ requirements considerably affects the success of an ES sourcing project, little is known about how requirements evolve beyond the implementation. We conduct a longitudinal, exploratory single-case study of the life cycle of cloud-based ES in a medium-sized organization. Over 5 years, we trace the evolution of requirements throughout the ES life cycle, beginning with the initial adoption decision and ending with considerations to retire the ES. We develop a process theory that explains how requirements evolve beyond ES implementation and throughout its life cycle. We isolate nine mechanisms that explain how contextual factors and experiences are intertwined and shape the evolution of requirements. We then develop seven propositions that explain how sourcing cloud-based ES alters the mechanisms that shape the evolution of requirements. Our findings emphasize that the evolution of requirements for cloud-based ES follows similar mechanisms to that of the requirements for on-premises ES but changes how particular mechanisms manifest. Sourcing cloud-based ES changes the influence of business divisions in acquisition and configuration activities, the role of upgrade and customization procedures, and the influence of the ES’ ecosystem.",eng,"Schneider, Stephan and Wollersheim, Jan and Krcmar, Helmut and Sunyaev, Ali",,,,,
000833,article,10.1057/JIT.2010.25,Journal of Information Technology,Embodiment and presence in virtual worlds: a review,2010,25,4,434--449,,eng,"Schultze, Ulrike",,,https://link.springer.com/article/10.1057/jit.2010.25,,
000834,article,10.1057/JIT.2012.8,Journal of Information Technology,Will Making the World Better through ICT Make the is Field Better Off?,2012,27,2,108--109,,eng,"Schultze, Ulrike",,,,,
000835,article,10.1057/JIT.2015.10,Journal of Information Technology,Skirting SLR's Language Trap: Reframing the ‘Systematic’ vs ‘Traditional’ Literature Review Opposition as a Continuum,2015,30,2,180--184,,eng,"Schultze, Ulrike",,,,,
000836,article,10.1057/JIT.2012.30,Journal of Information Technology,Studying Cyborgs: Re-Examining Internet Studies as Human Subjects Research,2012,27,4,301--312,"Virtual communities and social networks assume and consume more aspects of people's lives. In these evolving social spaces, the boundaries between actual and virtual reality, between living individuals and their virtual bodies, and between private and public domains are becoming ever more blurred. As a result, users and their presentations of self, as expressed through virtual bodies, are increasingly entangled. Consequently, more and more Internet users are cyborgs. For this reason, the ethical guidelines necessary for Internet research need to be revisited. We contend that the IS community has paid insufficient attention to the ethics of Internet research. To this end, we develop an understanding of issues related to online human subjects research by distinguishing between a disembodied and an entangled view of the Internet. We outline a framework to guide investigators and research ethics committees in answering a key question in the age of cyborgism: When does a proposed Internet study deal with human subjects as opposed to digital material?",eng,"Schultze, Ulrike and Mason, Richard O",,,,,
000837,article,10.1057/JIT.1986.28,Journal of Information Technology,Speech Input Wordprocessor and Work Station,1986,1,3,17--25,,eng,"Schwarz, P",,,https://link.springer.com/article/10.1057/jit.1986.28,,
000838,article,10.1057/JIT.2013.31,Journal of Information Technology,Toward a Process-Based View of Information Technology Acceptance,2014,29,1,73--96,"Research into the acceptance of technology is in need of an alternative approach. Despite repeated calls for research to guide our colleagues-in-practice in the deployment of systems that are accepted, there has yet to be systematic research into the relationship between the decisions made by individuals and the bottom-line impact that is derived from user acceptance. This study fills the gap in the literature by theorizing a process-based view of information technology (IT) acceptance. We report on a narrative study of 30 users of an ERP deployment and, analyzing this qualitative data through the lens of the five decisions of acceptance proposed by Schwarz and Chin, propose a process model of IT acceptance. We conclude by theorizing on the relationship between these structures and the corresponding bottom-line impacts.",eng,"Schwarz, Andrew and Chin, Wynne W and Hirschheim, Rudy and Schwarz, Colleen",,,,,
000839,article,10.1057/PALGRAVE.JIT.2000114,Journal of Information Technology,Wireless Technologies at Agriculture ITO,2007,22,4,451--455,"This teaching case portrays the issues surrounding the adoption of an emerging technology (mobile internet) by Agriculture ITO – an industry training organization in New Zealand. The widespread geographical nature of the organization creates a unique business scenario that can be of great value to instructors teaching IS management, technology adoption and mobility.",eng,"Scornavacca, Eusebio",,,,,
000840,article,10.1057/JIT.2014.33,Journal of Information Technology,Generalization in is Research: A Critique of the Conflicting Positions of Lee & Baskerville and Tsang & Williams,2015,30,1,30--43,"This paper is a companion to the paper on generalization in IS research by Williams and Tsang published in this edition of the Journal of Information Technology. Its purpose is to discuss the implications of the robust exchange of views about the meaning of the term ‘generalization’ in four papers, two by Lee and Baskerville, and two by Tsang and Williams. The objectives of this paper are, first, to help the reader understand the issues by summarizing the arguments in the four papers, and second, to assess the implications of the debate for future IS research. Our conclusion is that when the papers are interpreted from the perspectives of the respective pairs of authors, most of what they say is sound. However, because their perspectives are so different, their differences of opinion are also very real. As a way of showing that neither pair of authors’ conception of generalization is the ‘last word’ on this topic, the paper also compares key concepts from both pairs of authors with those from Seddon and Scheepers. It is argued that although the Seddon and Scheepers’ framework is also not the ‘last word’, it may prove more useful than either of the two preceding frameworks.",eng,"Seddon, Peter B and Scheepers, Rens",,,,,
000841,article,10.1080/02683960050153147,Journal of Information Technology,Editorial,2000,15,3,181--182,,,"Seddon, Peter and Shanks, Graeme",,,,,
000842,article,10.1057/JIT.2013.17,Journal of Information Technology,On Emergence and Forcing in Information Systems Grounded Theory Studies: The Case of Strauss and Corbin,2013,28,3,237--260,"Grounded theory method (GTM), which has been increasingly used in the information systems (IS) field, is a contested method. GTM has even been viewed as a family of methods by Antony Bryant and Kathy Charmaz in the respected ‘Handbook of Grounded Theory’. One debate that is of particular relevance is about the metaphor of ‘emergence’ and the most basic rule of GTM - that researchers should not force preconceived conceptualizations on data. This debate has its origins in a dispute between the two co-founders of grounded theory, Barney Glaser and Anselm Strauss. Glaser criticized Strauss for the introduction of the stage of axial coding and the use of one single coding paradigm. In his view, the paradigm is too rigid, forces data, hinders emergence, and leads to conceptual description instead of grounded theory. It is perhaps surprising then, that this debate has so far been conducted without any empirical evidence in support of the proposition that the Strauss and Corbin version of grounded theory might result in forcing. In this article, we analyse IS studies in top journals where Straussian grounded theory procedures - which have found most adherents in the IS discipline - are utilized. We provide detailed insights into the use and the impact of axial coding and the coding paradigm. We find that the researchers’ use of Straussian coding procedures in the IS field is on a level that is conscious and deliberative. We relate our findings to the broader debate about the contested nature of GTM, and find that axial coding and the coding paradigm are an exemplar that shows that GTM is an evolving method that is subject to idiosyncratic interpretations and flexible deployment. Our findings, we argue, are in line with the more recent development of constructivist grounded theory that holds that grounded theories are not discovered, they are constructed, based on conscious decisions and interpretive acts. We also put forward three propositions, and five guidelines, intended to assist IS researchers in constructing grounded theories using Straussian coding procedures, while adhering to the primacy of avoiding preconceptions.",eng,"Seidel, Stefan and Urquhart, Cathy",,,,,
000843,article,10.1057/JIT.2013.14,Journal of Information Technology,Capability Search and Redeem across Digital Ecosystems,2013,28,3,183--197,"Prior research on digital ecosystems focuses on the focal firm (e.g., a platform owner) and its ecosystem governance. However, there is a dearth of literature examining the non-focal actor, that is, an ecosystem participant who is at the periphery of a digital ecosystem. This paper proposes a theoretical perspective of the non-focal firm's participation across digital ecosystems for cultivating its innovation habitat through capability search and redeem. Capability search involves the location of external capability deemed valuable for extending the firm's innovation habitat. Capability redeem refers to the firm's use of external capability to develop, distribute, and/or monetize its products and services. We generate and sensitize the proposed perspective in the context of Sony Ericsson's innovation habitat by interpreting the mobile device manufacturer's participation across four digital ecosystems (Visual Basic, Java, Digital Music, and Android). Our findings suggest that the non-focal actor cannot rely on a single ecosystem for addressing all relevant layers of innovation. It benefits from pursuing a pluralistic strategy, operating across digital ecosystems to avoid investing all efforts in the same ecosystem. The model of ecosystem capability search and redeem, which is a result of ideographic research explanation, extends current perspectives on digital ecosystems and contributes to the emerging literature in the digital age.",eng,"Selander, Lisen and Henfridsson, Ola and Svahn, Fredrik",,,,,
000844,article,10.1080/026839600344294,Journal of Information Technology,Information systems evaluation in practice: a case study of organizational change,2000,15,2,93--105,,,"Serafeimidis, Vasilis and Smithson, Steve",,,,,
000845,article,10.1057/JIT.1987.18,Journal of Information Technology,The Nature of Information,1987,2,2,88--99,,eng,"Serebriakoff, Victor",,,https://link.springer.com/article/10.1057/jit.1987.18,,
000846,article,10.1177/026839629300800105,Journal of Information Technology,ITs and Structural Change: The Case of Local Area Network Implementation,1993,8,1,34--42,"New ITs are having a widespread impact on information flow within and between firms, on management practices and, on the basic processes and the structural configurations of the organization. This paper investigates a specific information system – Local Area Network – and its impact on the structural configuration of the firm. An initial discussion about a proposed framework for analysis is followed by an examination of the implementation of a local area network in a software development organization.",eng,"Shani, A.B. (Rami) and Sena, James A.",,http://journals.sagepub.com/doi/pdf/10.1177/026839629300800105,,,
000847,article,10.1080/02683960010008935,Journal of Information Technology,Editorial,2000,15,4,243--244,,,"Shanks, Graeme and Seddon, Peter",,,,,
000848,article,10.1057/JIT.2011.27,Journal of Information Technology,Research Methods and the Relevance of the is Discipline: A Critical Analysis of the Role of Methodological Pluralism,2011,26,4,306--312,,eng,"Sharma, Rajeev",,,,,
000849,article,10.1057/JIT.1993.15,Journal of Information Technology,Making database marketing work,1993,8,2,110--117,,eng,"Shaw, R",,,https://link.springer.com/article/10.1057/jit.1993.15,,
000850,article,10.1057/PALGRAVE.JIT.2000028,Journal of Information Technology,The Viable Systems Model Applied to a Smart Network: The Case of the UK Electricity Market,2004,19,4,270--280,"We investigate the concept of Smart Business Networks by using Beer's Viable System Model (VSM) to analyse how such a network mitigates the affect of emergent, and therefore unforecastable, demands upon the networked businesses. We examine the requirements for network smartness, highlight some significant properties of one Smart Network and use our case analysis and concepts from systems theory to suggest some general properties such as natural stability and distributed capability. We have found that smartness is distributed and shared behavioural process standards can act to stabilise complex systems. This is important because it mitigates emergent behaviour within increasingly complex business networks. The contributions of our article apply both to academics and business practitioners and are in its illustration and investigation of one Smart Business Network including how the smart capability functions at a strategic, business process and technical level; and the use of Beer's VSM to analyse an electricity market.",eng,"Shaw, Duncan R and Snowdon, Bob and Holland, Christopher P. and Kawalek, Peter and Warboys, Brian",,,,,
000851,article,10.1057/JIT.1987.27,Journal of Information Technology,Information and its Relation to Formalisms for the Complexities of the Real World,1987,2,3,151--155,,eng,"Shawe-Taylor, John",,,https://link.springer.com/article/10.1057/jit.1987.27,,
000852,article,10.1057/JIT.2008.32,Journal of Information Technology,Opening the Black Box: A Multi-Method Analysis of An Enterprise Resource Planning Implementation,2009,24,1,81--102,"This paper presents a multi-method analysis of the implementation of an enterprise resource planning system. It argues the majority of research treats these systems as having essential technical properties that enable them to bring about positive organisational effects. In contrast, we adopt a post-essentialist perspective that understands discourse as constructing ERP systems, rather than reflecting their essential properties. Discourse analysis of interviews and focus groups was used to compare justifications for the implementation produced by members of the ERP project team with end users’ reactions to the system. In contrast to previous studies, this opens the ERP black box by illustrating how the capabilities of these systems, and their organisational effects, are constructed through language. Moreover, it demonstrates the important function these constructions perform in legitimising or undermining ERP implementation. Statistical analysis of post-implementation questionnaires identified the predictors of established measures of users’ reactions to IT systems. By comparing these data with end users’ discursive reactions to the project, we identify several constructs for inclusion in future studies of users’ reactions to ERP systems. The paper concludes by summarising the contributions and limitations of the study and its implications for future research and practice.",eng,"Shepherd, Craig and Clegg, Chris and Stride, Chris",,,,,
000853,article,10.1080/026839699344539,Journal of Information Technology,"Xcert Software, Inc.",1999,14,3,235--242,,,"Siau, Keng",,,,,
000854,article,10.1057/PALGRAVE.JIT.2000054,Journal of Information Technology,E-Healthcare in ABC County Health Department (ABCCHD) 1 : Trade-offs Analysis and Evaluation,2006,21,1,66--71,"The issue of privacy stirred a tumultuous uproar when the ABC County Health Department (ABCCHD) was planning for an e-Healthcare system that utilized information technology to streamline the administration process of patients. ABCCHD had hired a software vendor, Info-Health, a company that specialized in information system development for the healthcare industry to help in the project. The privacy of patients with Sexually Transmitted Diseases/Human Immunity System was a thorny issue in the implementation of the e-Healthcare system. A trade-off between privacy and cost was discussed and debated. Three alternatives, with varying degrees of privacy and cost, were considered.",eng,"Siau, Keng and Kam, Hwee-Joo",,,,,
000855,article,10.1080/026839697345071,Journal of Information Technology,Integrating an intelligent tutoring facility into a gaming simulation environment,1997,12,3,207--222,,,"Siemer, Julika and Angelides, Marios C",,,,,
000856,article,10.1057/S41265-016-0029-Z,Journal of Information Technology,A Taxonomy of Financial Market Manipulations: Establishing Trust and Market Integrity in the Financialized Economy through Automated Fraud Detection,2017,32,3,251--269,"Financial market manipulations represent a major threat to trust and market integrity in capital markets. Manipulations contribute to mispricing, market imperfections and an increase in transaction costs for market participants and in costs of capital for issuers. Manipulations are facilitated by increased transaction velocity, speculative trading and abusive usage of new trading technologies, i.e., they are directly linked to financial sector changes that drive financialization. Research at the intersection of financialization and IS might support regulatory authorities and market operators in improving market surveillance and helping to detect fraudulent activities. However, confusing terminology is prevalent on financial markets with respect to different manipulation techniques and their characteristics, which hampers efficient fraud detection. Furthermore, recognizing manipulations is challenging given the large number of information sources and the vast number of trades occurring not least because of high-frequency traders. Therefore, automated market surveillance tools require a comprehensive taxonomy of financial market manipulations as a basis for appropriate configuration. Based on a cluster analysis of SEC litigation releases, a review of the latest market abuse regulation and academic studies, we develop a taxonomy of manipulations that structures and details existing manipulation techniques and reveals how these techniques differ along several dimensions. In a case study, we show how the taxonomy can be utilized to guide the development of appropriate decision support systems for fraud detection.",eng,"Siering, Michael and Clapham, Benjamin and Engel, Oliver and Gomber, Peter",,,,,
000857,article,10.1057/JIT.1990.42,Journal of Information Technology,Managing IS benefits for the 1990s,1990,5,4,185--193,,eng,"Silk, David J",,,https://link.springer.com/article/10.1057/jit.1990.42,,
000858,article,10.1057/JIT.2014.21,Journal of Information Technology,Taking Theory Too Far? A Commentary on Avison and Malaurent,2014,29,4,353--355,,eng,"Silverman, David",,,,,
000859,article,10.1080/026839699344665,Journal of Information Technology,IT-based product and process innovation: a case from the Spanish legal information sector,1999,14,2,171--179,,,"Simon, Katrin and Sanchez, Pedro J and Olazaran, Mikel",,,,,
000860,article,10.1057/JIT.2010.5,Journal of Information Technology,Gift-Giving as a Conceptual Framework: Framing Social Behavior in Online Networks,2010,25,2,170--177,"This paper explores the use of gift-giving as a theoretical and conceptual framework for analyzing social behavior in online networks and communities. Not only has gift-giving the potential to frame and explain much social media behavior, but reversely, and perhaps more Importantly, mediated social behavior also has the potential to develop gift-giving theory. Information and communication technologies form joint sociotechnical systems where new practices emerge. The paper focuses on describing the academic background of the gifting framework to help develop a deeper, theory-based, understanding of these sociotechnical phenomena. Three themes are prevalent In the gifting literature: other- orientation, social bonding and generalized reciprocity. The paper gives examples of how these themes are enacted by end-users via the use of Information and communication technologies. Finally, sociotechnically embedded economies, called gifting technologies, are Identified and discussed.",eng,"Skågeby, Jörgen",,,,,
000861,article,10.1057/JIT.2010.3,Journal of Information Technology,Patterns and Structures of Intra-organizational Learning Networks within a Knowledge-Intensive Organization,2010,25,2,189--204,"This paper employs the network perspective to study patterns and structures of intra- organizational learning networks. The theoretical background draws from cognitive theories, theories of homophily and proximity, theories of social exchange, the theory of generalized exchange, small-worlds theory, and social process theory. The levels of analysis applied are actor, dyadic, triadic, and global. Confirmatory social network analysis (exponential random graph modeling) was employed for data analysis. Findings suggest: (1) central actors in the learning network are experienced and hold senior positions in the organizational hierarchy; (2) evidence of homophlly (In terms of gender, tenure, and hierarchical level relations) and proximity (In terms of geographical and departmental distances) in learning relationships; (3) learning relationships are non-reciprocal; and (4) transitivity and high local clustering with sparse inter-cluster ties are significant for intra-organizational learning networks.",eng,"Škerlavaj, Miha and Dimovski, Vlado and Desouza, Kevin C",,,,,
000862,article,10.1057/JIT.1990.30,Journal of Information Technology,The case study: a useful research method for information management,1990,5,3,123--133,,eng,"Smith, N Craig",,,https://link.springer.com/article/10.1057/jit.1990.30,,
000863,article,10.1057/JIT.1990.40,Journal of Information Technology,Beating the System,1990,5,3,179--180,,eng,"Smith, Jim",,,https://link.springer.com/article/10.1057/jit.1990.40,,
000864,article,10.1057/JIT.1993.30,Journal of Information Technology,Business process re-engineering: the use of process redesign and IT to transform corporate performance,1993,8,3,201--202,,eng,"Smith, Gill",,,https://link.springer.com/article/10.1057/jit.1993.30,,
000865,article,10.1057/JIT.1993.29,Journal of Information Technology,Object-oriented analysis,1993,8,3,199--200,,eng,"Smith, Gill",,,https://link.springer.com/article/10.1057/jit.1993.29,,
000866,article,10.1057/JIT.1994.33,Journal of Information Technology,Process Innovation,1994,9,4,303--303,,eng,"Smith, Gill",,,https://link.springer.com/article/10.1057/jit.1994.33,,
000867,article,10.1057/JIT.2010.17,Journal of Information Technology,Limitations to building institutional trustworthiness through e-government: a comparative study of two e-services in Chile,2011,26,1,78--93,,eng,"Smith, Matthew L",,,https://link.springer.com/article/10.1057/jit.2010.17,,
000868,article,10.1057/JIT.1995.30,Journal of Information Technology,Domestic and global outsourcing practices of America's most effective IS users,1995,10,4,269--280,,eng,"Sobol, Marion G and Apte, Uday",,,https://link.springer.com/article/10.1057/jit.1995.30,,
000869,article,10.1057/JIT.2010.13,Journal of Information Technology,Managing Diverse Stakeholders in Enterprise Systems Projects: A Control Portfolio Approach,2011,26,1,16--31,"While substantial research has examined the control of Information systems (IS) projects, most studies In this area have only examined how one controller manages a single group of controllees. However, many IS projects, especially enterprise systems projects (often initiated by an organization's corporate headquarters, and involving business unit users and consultants), have multiple stakeholders. The corporate headquarters (the project's principal controller) must simultaneously ensure that the various stakeholders are aligned with the project's goals despite their diverse motivations, and that the stakeholders collaborate with each other to achieve project success. Behavior control theory argues that the controller enacts a control portfolio of formal and Informal controls. However, the presence of multiple controllee groups increases the complexity of vertical controller- controllee relationships, the salience of controllee-controllee relationships, and the interaction between these vertical and horizontal relationships. We therefore examined the creation and evolution of the control portfolio In a multi-stakeholder project over a period of 14 months. We found that (1) the principal controller did enact separate controls for the user and consultant groups; (2) there was more than one controller - the principal controller co-existed with subordinate controllers; and (3) controls enacted by the subordinate controllers and other controllees that cut across stakeholder groups required the support of the principal controller.",eng,"Soh, Christina and Chua, Cecil Eng Huang and Singh, Harminder",,,,,
000870,article,10.1080/026839698344846,Journal of Information Technology,The role and impact of information technology in Australian business,1998,13,3,201--217,,,"Sohal, Amrik S and NG, Lionel",,,,,
000871,article,10.1057/S41265-017-0046-6,Journal of Information Technology,Process is King: Evaluating the Performance of Technology-mediated Learning in Vocational Software Training,2018,33,3,233--253,"Technology-mediated learning (TML) is a major trend in education, since it allows to integrate the strengths of traditional- and IT-based learning activities. However, TML providers still struggle in identifying areas for improvement in their TML offerings. One reason for their struggles is inconsistencies in the literature regarding drivers of TML performance. Prior research suggests that these inconsistencies in TML literature might stem from neglecting the importance of considering the process perspective in addition to the input and outcome perspectives. This gap needs to be addressed to better understand the different drivers of the performance of TML scenarios. Filling this gap would further support TML providers with more precise guidance on how to (re-)design their offerings toward their customers’ needs. To achieve our goal, we combine qualitative and quantitative methods to develop and evaluate a holistic model for assessing TML performance. In particular, we consolidate the body of literature, followed by a focus group workshop and a Q-sorting exercise with TML practitioners, and an empirical pre-study to develop and initially test our research model. Afterward, we collect data from 161 participants of TML vocational software trainings and evaluate our holistic model for assessing TML performance. The results provide empirical evidence for the importance of the TML process quality dimension as suggested in prior literature and highlighted by our TML practitioners. Our main theoretical as well as practical contribution is a holistic model that provides comprehensive insights into which constructs and facets shape the performance of TML in vocational software trainings.",eng,"Söllner, Matthias and Bitzer, Philipp and Janson, Andreas and Leimeister, Jan Marco",,,,,
000872,article,10.1057/JIT.1987.7,Journal of Information Technology,Applied Information Technology: from Data Processing to Strategic Information Systems,1987,2,1,30--41,,eng,"Somogyi, Elisabeth K and Galliers, Robert D",,,https://link.springer.com/article/10.1057/jit.1987.7,,
000873,article,10.1080/026839600110054771,Journal of Information Technology,Innovation through Knowledge Codification,2001,16,2,83--97,"Academics and business professionals are currently showing a significant interest in understanding the management of knowledge and the roles to be played therein by information and communication technology (ICT). This paper takes a closer look at one of the primary issues raised when supporting the management of knowledge: how to understand the role of knowledge classification and codification as means for further organizational learning and innovation. Two manufacturing cases are analysed using particular perspectives from current theories on classification, namely the management of knowledge and organizational innovation. It is concluded that a more complex understanding of the interplay between cognitive and community models for knowledge management as informed by research on the social processes of classification can inform our understanding of both the role of classification of knowledge for organizational innovation and the viability of providing ICT support based on codified knowledge.",eng,"Sørensen, Carsten and Lundh-Snis, Ulrika",,http://journals.sagepub.com/doi/pdf/10.1080/026839600110054771,,,
000874,article,10.1057/JIT.2015.22,Journal of Information Technology,Mobile Platforms and Ecosystems,2015,30,3,195--197,,eng,"Sørensen, Carsten and de Reuver, Mark and Basole, Rahul C",,,,,
000875,article,10.1057/JIT.2014.37,Journal of Information Technology,A Design Theory for Digital Platforms Supporting Online Communities: A Multiple Case Study,2015,30,4,364--380,"This research proposes and validates a design theory for digital platforms that support online communities (DPsOC). It addresses ways in which digital platforms can effectively support social interactions in online communities. Drawing upon prior literature on IS design theory, online communities, and platforms, we derive an initial set of propositions for designing effective DPsOC. Our overarching proposition is that three components of digital platform architecture (core, interface, and complements) should collectively support the mix of the three distinct types of social interaction structures of online community (information sharing, collaboration, and collective action). We validate the initial propositions and generate additional insights by conducting an in-depth analysis of an European digital platform for elderly care assistance. We further validate the propositions by analyzing three widely used digital platforms, including Twitter, Wikipedia, and Liquidfeedback, and we derive additional propositions and insights that can guide DPsOC design. We discuss the implications of this research for research and practice.",eng,"Spagnoletti, Paolo and Resca, Andrea and Lee, Gwanhoo",,,,,
000876,article,10.1057/JIT.2016.4,Journal of Information Technology,Towards a value theory for personal data,2017,32,1,62--84,"Analysts, investors and entrepreneurs have recognized the value of personal data for Internet economics. Personal data is viewed as ‘the oil’ of the digital economy. Yet, ordinary people are barely aware of this. Marketers collect personal data at minimal cost in exchange for free services. But will this be possible in the long term, especially in the face of privacy concerns? Little is known about how users really value their personal data. In this paper, we build a user-centered value theory for personal data. On the basis of a survey experiment with 1269 Facebook users, we identify core constructs that drive the value of volunteered personal data. We find that privacy concerns are less influential than expected and influence data value mainly when people become aware of data markets. In fact, the consciousness of data being a tradable asset is the single most influential factor driving willingness-to-pay for data. Furthermore, we find that people build a sense of psychological ownership for their data and hence value it more. Finally, our value theory helps to unveil market design mechanisms that will influence how personal data markets thrive: First, we observe a majority of users become reactant if they are consciously deprived of control over their personal data; many drop out of the market. We therefore advice companies to consider user-centered data control tools to have them participate in personal data markets. Second, we find that in order to create scarcity in the market, centralized IT architectures (reducing multiple data copies) may be beneficial.",eng,"Spiekermann, Sarah and Korunovska, Jana",,,,,
000877,article,10.1057/JIT.1989.5,Journal of Information Technology,"Integral, Implicitly Intelligent Systems",1989,4,1,41--48,,eng,"Ŝpigel, Ivo",,,https://link.springer.com/article/10.1057/jit.1989.5,,
000878,article,10.1057/PALGRAVE.JIT.2000112,Journal of Information Technology,Modernization of Passenger Reservation System: Indian Railways’ Dilemma,2007,22,4,432--439,"This teaching case discusses the challenges being faced by the technology managers at Indian Railways (IR) in the current scenario of a resurgent national economy coupled with increasing customer expectations. In the face of growing competition from road and low-cost airlines, to retain its customers, IR has responded by changing its business rules. The Railway Ministry expects a rapid response from Centre for Railway Information Systems (CRIS) to incorporate all these changes in the passenger reservation system (PRS). The old PRS, which is time-tested and reliable, and has been serving the customers’ needs for nearly two decades, is now proving to be relatively inflexible to match the rapidly changing business requirements. Although the current scenario of a constant need to change the programming logic of PRS has been making maintenance tougher for CRIS officials, they have realized that PRS is a time-tested, proven, and reliable technology. Though they would be happy to replace the old PRS with a new state-of-art system that would provide them greater maintenance flexibility, the repercussions associated with possible failure of the new system are far too serious. The case exhibits the current dilemma being faced by the head of CRIS, the umbrella agency for information technology (IT) implementation in IR: whether IR should continue using the old PRS technology with its inherent shortcomings, or should it take the risk and go in for a wholesale replacement with a new state-of-art technology which would provide greater maintenance flexibility?",eng,"Srivastava, Shirish C and Mathur, Sharat S and Teo, Thompson SH",,,,,
000879,article,10.1057/JIT.2009.9,Journal of Information Technology,Competing Technology Options and Stakeholder Interests for Tracking Freight Railcars in Indian Railways,2009,24,4,392--400,"This teaching case examines the implementation of a new technology for tracking individual freight railcars (wagons) by Indian Railways. After exploring multiple ‘technological options,’ the Indian Railways decided to undertake a pilot project based on time-tested Automatic Equipment Identification system using Radio Frequency Identification (RFID) technology. However, a number of other technological options are now available, which include EPC Gen2-based RFID systems, Global Positioning System solutions, Optical Character Recognition (OCR)-based systems, and manual hand-held data collection devices integrated with the current Freight Operations System. Each of these systems has its own advantages and limitations. Although Indian Railways officials are going ahead with the pilot project, they are uncertain as to the appropriate technological choice, given the wide range of available technology options. Further, they are faced with competing interests from different stakeholder groups (departments), who favor different technologies.",eng,"Srivastava, Shirish C and Mathur, Sharat S and Teo, Thompson SH",,,,,
000880,article,10.1057/JIT.1988.2,Journal of Information Technology,The Dangers of AI in Information Systems As Exposed by the Field of Computers and Law,1988,3,1,6--8,,eng,"Stamper, Ronald",,,https://link.springer.com/article/10.1057/jit.1988.2,,
000881,article,10.1057/JIT.1987.28,Journal of Information Technology,The Polyhierarchic Model of Intelligence,1987,2,3,156--160,,eng,"Stearne, Keith",,,https://link.springer.com/article/10.1057/jit.1987.28,,
000882,article,10.1057/JIT.1995.12,Journal of Information Technology,Information technology and organization design,1995,10,2,101--113,,eng,"Stebbins, Michael W and Sena, James A and Shani, A B",,,https://link.springer.com/article/10.1057/jit.1995.12,,
000883,article,10.1057/JIT.2012.32,Journal of Information Technology,Towards An Understanding of Identity and Technology in the Workplace,2013,28,3,167--182,"Despite the ubiquitous presence of information technology (IT) in the workplace and the continued computerization of all kinds of work practices, investigations into how IT artifacts play a role in professional identity construction remain rare. Existing studies tend to emphasize sense-making and discourses around IT. This study attempts to fill some of this gap by offering an empirical investigation of how IT artifacts play a role in professional identity enactment at a back office of a Big 4 accounting firm. Building on the socio-technical school of thought and the concept of self as storied, the paper offers a complementary perspective to existing views on the role of IT in identity formation. Our findings reveal that IT artifacts become part of professional identity performances by acting as landmarks in individuals’ self-narratives around which the self and others are positioned and a preferred professional identity is enacted. The findings also indicate that different types of preferred selves may be expressed in specific patterns of technology use. As such, our study contributes to a better understanding of professional identity construction, workplace behavior and ongoing use or non-use of IT at work.",eng,"Stein, Mari-Klara and Galliers, Robert D and Markus, M Lynne",,,,,
000884,article,10.1057/JIT.1992.28,Journal of Information Technology,Internationalization of the firm and impacts of videotex networks,1992,7,4,213--222,,eng,"Steinfield, Charles and Caby, Laurence and Vialle, Pierre",,,https://link.springer.com/article/10.1057/jit.1992.28,,
000885,article,10.1057/PALGRAVE.JIT.2000051,Journal of Information Technology,Exploring Interorganizational Systems at the Industry Level of Analysis: Evidence from the US Home Mortgage Industry,2005,20,4,224--233,"Interorganizational Systems (IOS) can have influences that extend beyond the organizations that implement them. Much can be learned at the industry-level of analysis that might not be revealed in studies conducted at the organizational level of analysis. This article summarizes a case study of one industry - the US home mortgage industry - in order to illustrate three types of industry-level phenomena that surface when examining use of interorganizational IT-driven coordination systems: collective actions among industry participants, performance effects, and structural effects. Our discussion of case results distinguishes between industry outcomes that are the net result of the accumulation of organizational actions vs. outcomes where industry-level consequences are qualitatively different from what is observed at the organizational level.",eng,"Steinfield, Charles W and Markus, M Lynne and Wigand, Rolf T",,,,,
000886,article,10.1080/026839699344476,Journal of Information Technology,Business-to-business electronic commerce and convergent assembly supply chain management,1999,14,4,361--373,,,"Strader, Troy J and Lin, Fu-Ren and Shaw, Michael J",,,,,
000887,article,10.1080/026839699344430,Journal of Information Technology,Global Research Perspectives on Electronic Commerce: Introduction to the Theme Issue,1999,14,4,315--317,,,"Strader, Troy J and Willcocks, Leslie",,,,,
